Hour,Month,WindSpeed,WindDir,Rain,Power
4,4,2.7,NW,0,70.6
16,12,0.4,SSE,0,0
9,1,5.4,ENE,0,86.2
21,1,0,ENE,0,10.6
17,3,1.8,SW,0,31.1
19,6,3.1,ENE,0,45.1
1,2,0,NE,0,61
2,4,1.3,S,0,39.7
4,6,1.8,WNW,0,72.9
8,9,1.8,E,0,24.7
4,7,5.4,NE,0,85
6,12,0,---,0,38.3
21,6,0.9,SSE,0,55.9
5,3,0,---,0,67.7
0,1,2.2,ENE,0,67.8
5,2,0,---,0,80.4
5,8,3.6,NE,0,82.6
5,5,2.7,NNE,0,74.5
4,11,3.1,NE,0,55.8
7,9,1.3,E,0,18.4
3,9,3.6,NNW,0,82.8
10,3,4,NE,0,44.2
8,6,1.3,NW,0,9.8
17,8,0.4,WSW,0,0
10,7,0.9,WSW,0,32.2
1,11,4.9,NNW,0,108.7
8,11,0.9,SSE,0,40.1
9,8,3.1,NNE,0,91.8
20,2,0,---,0,2.4
23,6,2.2,WNW,0,65.5
14,9,3.6,NNE,0,76.9
22,5,1.3,NW,0,19.6
2,12,0,---,0,92.1
2,1,2.2,ENE,0,79
8,9,0.4,SSE,0,1.7
8,10,0,ENE,0,0.2
2,7,0.9,SW,0,85.5
15,6,1.8,NNW,0,14.7
5,8,1.3,WSW,0,89
16,4,2.2,NNE,0,13
12,5,3.1,NNW,0,33
15,2,1.3,NNW,0,0.5
18,2,1.3,SW,0,31.4
23,12,0.4,SSE,0,15.9
5,11,0,---,0,12.8
6,4,3.6,NE,0,97
21,9,0,---,0,27.9
8,8,0.4,WSW,0,0
5,12,0,---,0,100.6
7,6,5.8,NE,0,108.8
11,12,5.4,NW,0,85.4
1,1,3.6,ENE,0,86.9
6,1,4.5,E,0,106.8
21,2,0,---,0,-0.6
0,5,3.1,ENE,0,50.8
4,11,2.7,NE,0,91.9
17,8,6.3,W,0,105.5
12,1,4,WNW,0,83.6
10,6,1.8,NNE,0,72.3
19,5,2.2,W,0,100.1
3,1,4,ENE,0,66.4
5,4,5.4,E,0,109
2,2,0,SSE,0,27.3
14,4,2.2,NE,0,18
17,9,0.4,SSE,0,0
17,5,1.8,NW,0,58.1
3,5,3.6,NW,0,108.9
5,10,4.9,ENE,0,93.3
13,3,0,---,0,4.6
4,1,2.7,NNE,0,72.7
9,6,2.2,NW,0,8.7
19,7,0,---,0,16.4
0,7,3.6,W,0,73.1
19,10,3.1,SSE,0,64.9
0,5,0.4,WSW,0,73.3
19,3,0,---,0,27.7
13,3,1.8,SSE,0,24.9
8,2,3.1,ENE,0,73.8
23,3,0.9,SW,0,78.5
5,5,3.1,ENE,0,56.4
13,12,4.9,WNW,0,81
16,3,0,W,0,8.9
8,5,3.6,NW,0,48.9
12,9,1.8,WSW,0,24.9
12,11,2.2,W,0,4.5
23,2,2.2,SSE,0,64.2
11,6,2.7,NNE,0,95.9
21,9,2.7,ENE,0,51.7
10,2,0,---,0,90.6
8,10,4,ENE,0,84.9
0,9,0,---,0,81.6
9,12,0.9,WSW,0,20.5
10,7,0.9,WSW,0,41.1
16,4,0.9,W,0,0.4
1,6,0,SSE,0,10
15,8,0.4,WNW,0,-0.8
16,5,2.2,SW,0,108.2
2,9,3.6,ENE,0,67
6,7,0.4,NNW,0,36.8
10,7,3.6,NE,0,104.3
14,8,5.4,NW,0,81.4
6,1,2.7,ENE,0,49
9,9,2.2,NNW,0,33.6
2,10,0.4,NW,0,3.9
16,12,1.8,SE,0,16.6
12,6,0.9,SE,0,10.4
8,9,0,W,0,2.6
15,9,1.3,SSE,0,1.7
1,5,2.7,WSW,0,108.7
17,8,3.1,SW,0.2,18.1
18,6,1.8,W,0,70.9
19,8,0.4,WSW,0,54.4
14,12,0.9,E,0,-0.4
1,5,0,---,0,23
22,3,0,---,0,33.6
17,9,0.9,E,0,3.8
17,7,1.8,W,0,39.2
10,6,0,---,0,36.5
6,8,0,S,0,73.6
3,10,0,E,0,70.8
12,11,0.9,WSW,0,1.8
14,2,1.3,WSW,0,14.5
23,10,0,SE,0,0.1
3,4,0.9,ESE,0,41.1
2,1,4.9,NE,0,107.3
11,6,2.7,WNW,0,23.7
7,7,0,NNE,0,12.4
0,4,3.6,ENE,0,58.4
21,9,0,---,0,22.2
20,7,0,---,0,7.6
22,8,0.4,SW,0,64.8
23,2,0,---,0,68
23,4,2.7,NE,0,74.4
23,3,0.4,NE,0,1.9
20,6,0.4,NNE,0,4.2
22,12,0,---,0,72.2
14,6,3.6,NW,0,26.7
1,2,0.4,E,0,15.6
1,6,0,NE,0,5.4
0,9,0.4,E,0,60.2
12,5,2.7,W,0,66.8
9,7,2.2,NNW,0,15.2
22,7,2.7,NNW,0,55.1
3,8,2.7,W,0.2,83.8
22,2,0,SSE,0,22.3
22,6,0.4,NW,0,16.2
22,4,0,NE,0,26.8
12,6,4.9,NNW,0,69.8
4,11,2.2,WNW,0,46.6
0,1,0.4,SSE,0,10.6
0,5,3.1,NNW,0,70.3
2,10,0,NE,0,9.6
23,6,1.8,NNE,0,73.8
8,5,0.4,ENE,0,53.7
2,2,3.1,ENE,0,71.1
1,3,0,---,0,-0.1
0,8,4,ENE,0,68
20,7,0.4,E,0,25.9
19,2,1.8,SW,0,100.3
14,10,1.8,SW,0,54.6
17,8,0.4,WSW,0,0
20,7,0,---,0,29.9
9,2,3.6,SSE,0,67.1
9,8,4,NW,0,84.8
15,12,1.3,E,0,-0.2
12,12,1.3,W,0,0
11,5,7.6,W,0,103.1
7,12,2.2,NE,0,14.4
15,5,0.4,SSE,0,-0.4
12,11,1.8,W,0,23.7
3,11,1.3,NNW,0,37.6
7,6,0,WNW,0,55.8
22,8,0,---,0,30.6
15,7,2.2,NNE,0,64.1
20,6,0.4,N,0,6.2
6,4,0,SSE,0,25.7
11,11,0.9,SSE,0,1.3
6,10,0,---,0,58.4
6,1,2.7,ENE,0,56.8
13,9,1.3,SW,0,3.7
10,5,2.7,NW,0,14.4
17,4,1.8,SSE,0,11.5
9,4,0.9,SW,0,20.5
9,2,0.4,W,0,4.2
22,7,0.9,E,0,68.7
12,12,6.7,NW,0,78.6
19,4,0.4,SSE,0,21.4
1,2,1.8,NE,0,38.6
17,1,0.9,E,0,7.4
12,9,3.6,N,0,107.2
17,9,0,S,0,-0.7
14,2,0,---,0,8.6
19,2,1.8,SW,0,29.5
23,10,0.9,E,0,16.7
2,11,3.1,NE,0,20.6
17,7,0,WSW,0,25.6
20,11,1.3,SSE,0,53.9
9,5,0.4,WSW,0,1.8
4,4,3.1,NNE,0,86
13,7,3.1,WSW,0.2,72.4
6,11,0.9,SW,0,43.4
8,1,4.5,NE,0,103.5
23,6,0,---,0,1.7
0,12,0,---,0,107.8
17,11,2.2,NE,0,13
11,6,2.2,NNW,0,7.8
10,10,1.3,WNW,0,2.7
12,10,1.8,WNW,0,1.5
1,5,3.1,NNW,0,109
17,3,1.8,SW,0,33.6
12,8,3.6,SW,0,31.8
18,8,4.5,W,0,108
3,1,4,ENE,0,80.4
6,12,2.2,NE,0,40.8
23,8,0.4,WSW,0,74.5
20,8,3.1,N,0,92.2
10,5,1.3,SE,0,13.2
11,3,2.7,SW,0,78.6
13,6,0,---,0,18.1
0,12,1.8,SW,0,80.8
11,6,1.8,SSE,0,19.3
10,3,3.1,WSW,0,85.9
9,1,5.8,ENE,0,84.9
16,5,7.2,NW,0,82.5
19,6,1.8,NW,0,26.7
20,4,0.9,SE,0,21.5
18,2,2.2,SW,0,108.7
17,6,1.3,NNE,0,80.6
15,6,8,NW,0,73.6
3,1,4.9,NNE,0,108.7
16,10,5.8,NNE,0,84.8
11,11,2.2,SSE,0,70.5
16,2,0,---,0,-0.4
21,5,0,W,0,2.4
21,5,1.3,SW,0,106.1
2,3,0,---,0,58.6
1,3,0,SW,0,22.4
1,4,0.9,SW,0,41.4
3,5,0,SW,0,3.2
15,3,0,---,0,42.9
14,9,0,---,0,-0.9
6,12,4,ENE,0,79.2
11,7,0.9,SE,0,28.7
1,1,1.3,E,0,65.4
18,11,0.9,WSW,0,19.7
10,9,0,---,0,4.8
21,3,0.4,WNW,0,49.9
3,8,0.4,WSW,0,0
0,10,0,E,0,65.1
0,11,0,---,0,6.3
11,4,0.4,W,0,-0.5
22,3,0,SE,0,22.5
1,9,0.9,ENE,0,0
9,10,4.9,NW,0,49.1
3,1,1.3,E,0,99
16,7,2.7,NW,0,16.1
0,2,0.4,ESE,0,25.7
6,7,4.9,NE,0,83.3
13,4,3.6,W,0,75.7
2,11,0.9,SSE,0,28
20,4,2.2,NNW,0,29.6
